#Naren,,
859,=,Sorneaonland
862,=,South Tropland
864,=,Low Zamaria
873,=,Upper Eastern Line-Fort
874,=,Upper Western Line-Fort
880,=,Grep Highlands
881,=,Laren
882,=,Asthaland
885,=,Werken Plateau
886,=,Upper Ruznava
898,=,Tagop Shore
906,=,Larenland
909,=,Drakenostra
972,=,Upper Central Line-Fort
974,=,Erwinhold
975,=,Gildan Borderlands
976,=,Soan
977,=,North Soanos
978,=,Ruznavan delta
979,=,Ortrea
1005,=,Zolb Highlands
1006,=,Zolbland
1008,=,Asthan Highlands
1010,=,Upper Trop
1011,=,Trop
1809,=,Arangar
1813,=,Fiorna
2005,=,Sorneon
2006,=,Salsan
2007,=,Elsen
2008,=,Ronensand
2009,=,Trandor
2016,=,North Tropland
2017,=,Lower Werkenland
2022,=,Werken
2484,=,Lower Central Line-Fort
2485,=,Lower Western Line-Fort
2490,=,Ausanta
2493,=,Lunar Mesa
2496,=,Tagop Steppe
2497,=,High Zamaria
2498,=,Lower Zamaria
2503,=,Arangarava
2504,=,Pršava
2505,=,Naason
2506,=,Ruznava Creek
2507,=,Astha
2508,=,Laren Highlands
2510,=,The Throne
2511,=,Zolb
2594,=,East Eail
2595,=,Lower Lakapaland
2596,=,Lower Trop
2597,=,Tagop
2598,=,Middle Ruznava
2599,=,Lakapa
2600,=,Lower Ruznava
2601,=,Lorento
2609,=,Ardonton
2610,=,Lower Eastern Line-Fort
2611,=,Petsas
2612,=,Lozdot
2613,=,South Soanos
2616,=,Upper Zamaria
2625,=,West Eail
,,
#Eshlends,,
2501,=,Claw
2502,=,Tooth
2502,=,Green Hive
2605,=,Shell
870,=,Black Hive
875,=,Blood
2476,=,Red Nest
2616,=,Red Hive
901,=,Fish
2479,=,Blue Hive
2021,=,Blue Nest
